user_id,item_type,grammar_tag,time,y
6498739694293031e3,production_vocabulary,NA,Post-test,1
6498739694293031e3,multiple-choice_grammar,simple-present-statements-3rd,Baseline,0
6498739694293031e3,multiple-choice_grammar,simple-present-statements-3rd,Post-test,1
6498739694293031e3,multiple-choice_grammar,simple-present-q-be,Baseline,0
6498739694293031e3,multiple-choice_grammar,simple-present-q-be,Post-test,0
18309244302752231e3,production_grammar,simple-present-neg-does,Baseline,0
18309244302752231e3,production_grammar,simple-present-neg-does,Post-test,1
18309244302752231e3,production_vocabulary,NA,Baseline,1
18309244302752231e3,production_vocabulary,NA,Post-test,1
18309244302752231e3,multiple-choice_grammar,present-progressive,Baseline,0
18309244302752231e3,multiple-choice_grammar,present-progressive,Post-test,1
18309244302752231e3,multiple-choice_vocabulary,NA,Baseline,1
18309244302752231e3,multiple-choice_vocabulary,NA,Post-test,1
15855269385837785e3,production_grammar,it-as-a-subject,Baseline,1
15855269385837785e3,production_grammar,it-as-a-subject,Post-test,1
15855269385837785e3,production_vocabulary,NA,Baseline,1
15855269385837785e3,production_vocabulary,NA,Post-test,1
15855269385837785e3,multiple-choice_grammar,simple-present-q-be,Baseline,1
15855269385837785e3,multiple-choice_grammar,simple-present-q-be,Post-test,1
15855269385837785e3,multiple-choice_vocabulary,NA,Baseline,1
15855269385837785e3,multiple-choice_vocabulary,NA,Post-test,1
526084110523827200,production_grammar,simple-present-neg-does,Baseline,1
526084110523827200,production_grammar,simple-present-neg-does,Post-test,1
526084110523827200,production_vocabulary,NA,Baseline,1
526084110523827200,production_vocabulary,NA,Post-test,1
526084110523827200,multiple-choice_grammar,articles,Baseline,1
526084110523827200,multiple-choice_grammar,articles,Post-test,1
526084110523827200,multiple-choice_grammar,plural,Baseline,1
526084110523827200,multiple-choice_grammar,plural,Post-test,1
12197145841399644e3,production_grammar,gerund-as-a-noun,Baseline,0
12197145841399644e3,production_grammar,gerund-as-a-noun,Post-test,0
12197145841399644e3,production_vocabulary,NA,Baseline,0
12197145841399644e3,production_vocabulary,NA,Post-test,1
12197145841399644e3,multiple-choice_grammar,plural,Baseline,1
12197145841399644e3,multiple-choice_grammar,plural,Post-test,1
12197145841399644e3,multiple-choice_grammar,existential,Baseline,0
12197145841399644e3,multiple-choice_grammar,existential,Post-test,1
1157281499627816e4,production_grammar,present-progressive,Baseline,0
1157281499627816e4,production_grammar,present-progressive,Post-test,0
1157281499627816e4,production_vocabulary,NA,Baseline,1
1157281499627816e4,production_vocabulary,NA,Post-test,1
1157281499627816e4,multiple-choice_grammar,existential,Baseline,0
1157281499627816e4,multiple-choice_grammar,existential,Post-test,1
1157281499627816e4,multiple-choice_vocabulary,NA,Baseline,1
1157281499627816e4,multiple-choice_vocabulary,NA,Post-test,1
13887207077654706e3,production_grammar,simple-present-statements-non-3rd,Baseline,1
13887207077654706e3,production_grammar,simple-present-statements-non-3rd,Post-test,1
13887207077654706e3,production_vocabulary,NA,Baseline,1
13887207077654706e3,production_vocabulary,NA,Post-test,1
13887207077654706e3,multiple-choice_vocabulary,NA,Baseline,1
13887207077654706e3,multiple-choice_vocabulary,NA,Post-test,1
1482642155460008e4,production_grammar,present-progressive,Baseline,1
1482642155460008e4,production_grammar,present-progressive,Post-test,1
1482642155460008e4,production_vocabulary,NA,Baseline,1
1482642155460008e4,production_vocabulary,NA,Post-test,1
1482642155460008e4,multiple-choice_grammar,existential,Baseline,1
1482642155460008e4,multiple-choice_grammar,existential,Post-test,1
1482642155460008e4,multiple-choice_grammar,phrasal-verbs,Baseline,1
1482642155460008e4,multiple-choice_grammar,phrasal-verbs,Post-test,1
716727756206028e4,production_grammar,modal-verbs,Baseline,1
716727756206028e4,production_grammar,modal-verbs,Post-test,1
716727756206028e4,production_vocabulary,NA,Baseline,1
716727756206028e4,production_vocabulary,NA,Post-test,1
716727756206028e4,multiple-choice_grammar,modal-verbs,Baseline,1
716727756206028e4,multiple-choice_grammar,modal-verbs,Post-test,1
716727756206028e4,multiple-choice_grammar,present-progressive,Baseline,0
716727756206028e4,multiple-choice_grammar,present-progressive,Post-test,1
1429837081512598e4,production_grammar,present-progressive,Baseline,1
1429837081512598e4,production_grammar,present-progressive,Post-test,1
1429837081512598e4,production_vocabulary,NA,Baseline,1
1429837081512598e4,production_vocabulary,NA,Post-test,1
1429837081512598e4,multiple-choice_grammar,plural,Baseline,1
1429837081512598e4,multiple-choice_grammar,plural,Post-test,1
1429837081512598e4,multiple-choice_vocabulary,NA,Baseline,1
1429837081512598e4,multiple-choice_vocabulary,NA,Post-test,1
13421003977822837e3,production_grammar,plural,Baseline,0
13421003977822837e3,production_grammar,plural,Post-test,0
13421003977822837e3,production_vocabulary,NA,Baseline,1
13421003977822837e3,production_vocabulary,NA,Post-test,1
13421003977822837e3,multiple-choice_grammar,simple-present-q-does,Baseline,1
13421003977822837e3,multiple-choice_grammar,simple-present-q-does,Post-test,1
13421003977822837e3,multiple-choice_vocabulary,NA,Baseline,1
13421003977822837e3,multiple-choice_vocabulary,NA,Post-test,1
4046854856968631300,production_grammar,it-as-a-subject,Baseline,1
4046854856968631300,production_grammar,it-as-a-subject,Post-test,1
4046854856968631300,production_vocabulary,NA,Baseline,1
4046854856968631300,production_vocabulary,NA,Post-test,1
4046854856968631300,multiple-choice_grammar,simple-present-q-do,Baseline,1
4046854856968631300,multiple-choice_grammar,simple-present-q-do,Post-test,1
4046854856968631300,multiple-choice_vocabulary,NA,Baseline,0
4046854856968631300,multiple-choice_vocabulary,NA,Post-test,0
18240177789235323e3,production_grammar,comparatives-superlatives,Baseline,1
18240177789235323e3,production_grammar,comparatives-superlatives,Post-test,1
18240177789235323e3,production_vocabulary,NA,Baseline,1
18240177789235323e3,production_vocabulary,NA,Post-test,1
18240177789235323e3,multiple-choice_grammar,plural,Baseline,1
18240177789235323e3,multiple-choice_grammar,plural,Post-test,1
18240177789235323e3,multiple-choice_vocabulary,NA,Baseline,1
18240177789235323e3,multiple-choice_vocabulary,NA,Post-test,1
6526779608537341e3,production_grammar,existential,Baseline,1
6526779608537341e3,production_grammar,existential,Post-test,1
6526779608537341e3,production_vocabulary,NA,Baseline,1
6526779608537341e3,production_vocabulary,NA,Post-test,1
6526779608537341e3,multiple-choice_grammar,simple-present-statements-3rd,Baseline,1
6526779608537341e3,multiple-choice_grammar,simple-present-statements-3rd,Post-test,1
6526779608537341e3,multiple-choice_grammar,simple-present-q-be,Baseline,1
6526779608537341e3,multiple-choice_grammar,simple-present-q-be,Post-test,1
13162028971757058e3,production_grammar,comparatives-superlatives,Baseline,0
13162028971757058e3,production_grammar,comparatives-superlatives,Post-test,1
13162028971757058e3,production_vocabulary,NA,Baseline,1
13162028971757058e3,production_vocabulary,NA,Post-test,1
13162028971757058e3,multiple-choice_grammar,possessive-s,Baseline,0
13162028971757058e3,multiple-choice_grammar,possessive-s,Post-test,1
13162028971757058e3,multiple-choice_vocabulary,NA,Baseline,1
13162028971757058e3,multiple-choice_vocabulary,NA,Post-test,1
1898455567773141e3,production_grammar,simple-present-questions-does,Baseline,0
1898455567773141e3,production_grammar,simple-present-questions-does,Post-test,1
1898455567773141e3,production_vocabulary,NA,Baseline,1
1898455567773141e3,production_vocabulary,NA,Post-test,1
1898455567773141e3,multiple-choice_grammar,simple-present-q-be,Baseline,1
1898455567773141e3,multiple-choice_grammar,simple-present-q-be,Post-test,1
1898455567773141e3,multiple-choice_grammar,articles,Baseline,0
1898455567773141e3,multiple-choice_grammar,articles,Post-test,0
8703822075802372e3,production_grammar,simple-present-statements-non-3rd,Baseline,1
8703822075802372e3,production_grammar,simple-present-statements-non-3rd,Post-test,1
8703822075802372e3,production_vocabulary,NA,Baseline,1
8703822075802372e3,production_vocabulary,NA,Post-test,1
8703822075802372e3,multiple-choice_grammar,comparatives-superlatives,Baseline,0
8703822075802372e3,multiple-choice_grammar,comparatives-superlatives,Post-test,1
8703822075802372e3,multiple-choice_vocabulary,NA,Baseline,1
8703822075802372e3,multiple-choice_vocabulary,NA,Post-test,1
246355139626508e4,production_grammar,simple-present-statements-non-3rd,Baseline,1
246355139626508e4,production_grammar,simple-present-statements-non-3rd,Post-test,1
246355139626508e4,production_vocabulary,NA,Baseline,1
246355139626508e4,production_vocabulary,NA,Post-test,1
246355139626508e4,multiple-choice_grammar,simple-present-statements-3rd,Baseline,0
246355139626508e4,multiple-choice_grammar,simple-present-statements-3rd,Post-test,0
246355139626508e4,multiple-choice_vocabulary,NA,Baseline,1
246355139626508e4,multiple-choice_vocabulary,NA,Post-test,1
5291102944294476e3,production_grammar,simple-present-statements-non-3rd,Baseline,1
5291102944294476e3,production_grammar,simple-present-statements-non-3rd,Post-test,1
5291102944294476e3,production_vocabulary,NA,Baseline,1
5291102944294476e3,production_vocabulary,NA,Post-test,1
5291102944294476e3,multiple-choice_grammar,phrasal-verbs,Baseline,0
5291102944294476e3,multiple-choice_grammar,phrasal-verbs,Post-test,0
5291102944294476e3,multiple-choice_grammar,articles,Baseline,0
5291102944294476e3,multiple-choice_grammar,articles,Post-test,0
5456296364045765e3,production_grammar,simple-present-neg-do,Baseline,1
5456296364045765e3,production_grammar,simple-present-neg-do,Post-test,1
5456296364045765e3,production_vocabulary,NA,Baseline,1
5456296364045765e3,production_vocabulary,NA,Post-test,1
5456296364045765e3,multiple-choice_grammar,present-progressive,Baseline,1
5456296364045765e3,multiple-choice_grammar,present-progressive,Post-test,0
5456296364045765e3,multiple-choice_grammar,simple-present-statements-3rd,Baseline,1
5456296364045765e3,multiple-choice_grammar,simple-present-statements-3rd,Post-test,1
8523680277139277e3,production_grammar,modal-verbs,Baseline,0
8523680277139277e3,production_grammar,modal-verbs,Post-test,1
8523680277139277e3,production_vocabulary,NA,Baseline,1
8523680277139277e3,production_vocabulary,NA,Post-test,1
8523680277139277e3,multiple-choice_grammar,simple-present-neg-does,Baseline,0
8523680277139277e3,multiple-choice_grammar,simple-present-neg-does,Post-test,1
8523680277139277e3,multiple-choice_grammar,articles,Baseline,1
8523680277139277e3,multiple-choice_grammar,articles,Post-test,1
18254804060870812e3,production_grammar,simple-present-neg-does,Baseline,1
18254804060870812e3,production_grammar,simple-present-neg-does,Post-test,1
18254804060870812e3,production_vocabulary,NA,Baseline,1
18254804060870812e3,production_vocabulary,NA,Post-test,0
18254804060870812e3,multiple-choice_grammar,plural,Baseline,1
18254804060870812e3,multiple-choice_grammar,plural,Post-test,1
18254804060870812e3,multiple-choice_grammar,comparatives-superlatives,Baseline,1
18254804060870812e3,multiple-choice_grammar,comparatives-superlatives,Post-test,1
7213635333657873e3,production_grammar,existential,Baseline,0
7213635333657873e3,production_grammar,existential,Post-test,0
7213635333657873e3,production_vocabulary,NA,Baseline,1
7213635333657873e3,production_vocabulary,NA,Post-test,0
7213635333657873e3,multiple-choice_grammar,simple-present-statements-3rd,Baseline,1
7213635333657873e3,multiple-choice_grammar,simple-present-statements-3rd,Post-test,1
7213635333657873e3,multiple-choice_vocabulary,NA,Baseline,0
7213635333657873e3,multiple-choice_vocabulary,NA,Post-test,0
2344713792358508500,production_grammar,simple-present-statements-non-3rd,Baseline,1
2344713792358508500,production_grammar,simple-present-statements-non-3rd,Post-test,1
2344713792358508500,production_vocabulary,NA,Baseline,1
2344713792358508500,production_vocabulary,NA,Post-test,0
2344713792358508500,multiple-choice_grammar,simple-present-q-does,Baseline,0
2344713792358508500,multiple-choice_grammar,simple-present-q-does,Post-test,0
2344713792358508500,multiple-choice_grammar,phrasal-verbs,Baseline,1
2344713792358508500,multiple-choice_grammar,phrasal-verbs,Post-test,1
4972210554664749e3,production_grammar,present-progressive,Baseline,0
4972210554664749e3,production_grammar,present-progressive,Post-test,1
4972210554664749e3,production_vocabulary,NA,Baseline,1
4972210554664749e3,production_vocabulary,NA,Post-test,1
4972210554664749e3,multiple-choice_grammar,simple-present-statements-3rd,Baseline,1
4972210554664749e3,multiple-choice_grammar,simple-present-statements-3rd,Post-test,1
4972210554664749e3,multiple-choice_vocabulary,NA,Baseline,0
4972210554664749e3,multiple-choice_vocabulary,NA,Post-test,1
16713448303973575e3,production_grammar,simple-present-statements-non-3rd,Baseline,0
16713448303973575e3,production_grammar,simple-present-statements-non-3rd,Post-test,1
16713448303973575e3,production_vocabulary,NA,Baseline,1
16713448303973575e3,production_vocabulary,NA,Post-test,1
16713448303973575e3,multiple-choice_grammar,simple-present-q-does,Baseline,0
16713448303973575e3,multiple-choice_grammar,simple-present-q-does,Post-test,0
16713448303973575e3,multiple-choice_grammar,modal-verbs,Baseline,0
16713448303973575e3,multiple-choice_grammar,modal-verbs,Post-test,0
530531132031792100,production_grammar,simple-present-questions-do,Baseline,1
530531132031792100,production_grammar,simple-present-questions-do,Post-test,1
530531132031792100,production_vocabulary,NA,Baseline,1
530531132031792100,production_vocabulary,NA,Post-test,0
530531132031792100,multiple-choice_grammar,it-as-a-subject,Baseline,0
530531132031792100,multiple-choice_grammar,it-as-a-subject,Post-test,0
530531132031792100,multiple-choice_grammar,present-progressive,Baseline,1
530531132031792100,multiple-choice_grammar,present-progressive,Post-test,1
6909026554632736e3,production_grammar,simple-present-statements-non-3rd,Baseline,1
6909026554632736e3,production_grammar,simple-present-statements-non-3rd,Post-test,1
6909026554632736e3,production_vocabulary,NA,Baseline,1
6909026554632736e3,production_vocabulary,NA,Post-test,1
6909026554632736e3,multiple-choice_grammar,simple-present-neg-does,Baseline,1
6909026554632736e3,multiple-choice_grammar,simple-present-neg-does,Post-test,1
6909026554632736e3,multiple-choice_vocabulary,NA,Baseline,1
6909026554632736e3,multiple-choice_vocabulary,NA,Post-test,1
16741275546897252e3,production_grammar,present-progressive,Baseline,1
16741275546897252e3,production_grammar,present-progressive,Post-test,1
16741275546897252e3,production_vocabulary,NA,Baseline,1
16741275546897252e3,production_vocabulary,NA,Post-test,1
16741275546897252e3,multiple-choice_vocabulary,NA,Baseline,1
16741275546897252e3,multiple-choice_vocabulary,NA,Post-test,1
14404889449025597e3,production_grammar,it-as-a-subject,Baseline,0
14404889449025597e3,production_grammar,it-as-a-subject,Post-test,0
14404889449025597e3,production_vocabulary,NA,Baseline,1
14404889449025597e3,production_vocabulary,NA,Post-test,1
14404889449025597e3,multiple-choice_grammar,simple-present-neg-does,Baseline,1
14404889449025597e3,multiple-choice_grammar,simple-present-neg-does,Post-test,0
14404889449025597e3,multiple-choice_grammar,simple-present-q-be,Baseline,1
14404889449025597e3,multiple-choice_grammar,simple-present-q-be,Post-test,1
10038744641561047e3,production_grammar,plural,Baseline,1
10038744641561047e3,production_grammar,plural,Post-test,1
10038744641561047e3,production_vocabulary,NA,Baseline,1
10038744641561047e3,production_vocabulary,NA,Post-test,1
10038744641561047e3,multiple-choice_grammar,phrasal-verbs,Baseline,1
10038744641561047e3,multiple-choice_grammar,phrasal-verbs,Post-test,1
10038744641561047e3,multiple-choice_grammar,simple-present-neg-does,Baseline,1
10038744641561047e3,multiple-choice_grammar,simple-present-neg-does,Post-test,1
768243334291474e4,production_grammar,modal-verbs,Baseline,1
768243334291474e4,production_grammar,modal-verbs,Post-test,1
768243334291474e4,production_vocabulary,NA,Baseline,1
768243334291474e4,production_vocabulary,NA,Post-test,1
768243334291474e4,multiple-choice_grammar,simple-present-q-does,Baseline,0
768243334291474e4,multiple-choice_grammar,simple-present-q-does,Post-test,1
768243334291474e4,multiple-choice_grammar,simple-present-q-be,Baseline,1
768243334291474e4,multiple-choice_grammar,simple-present-q-be,Post-test,1
11044171500363368e3,production_grammar,existential,Baseline,0
11044171500363368e3,production_grammar,existential,Post-test,1
11044171500363368e3,production_vocabulary,NA,Baseline,1
11044171500363368e3,production_vocabulary,NA,Post-test,1
11044171500363368e3,multiple-choice_grammar,existential,Baseline,0
11044171500363368e3,multiple-choice_grammar,existential,Post-test,1
11044171500363368e3,multiple-choice_vocabulary,NA,Baseline,1
11044171500363368e3,multiple-choice_vocabulary,NA,Post-test,1
12835224210230358e3,production_grammar,simple-present-neg-do,Baseline,0
12835224210230358e3,production_grammar,simple-present-neg-do,Post-test,1
12835224210230358e3,production_vocabulary,NA,Baseline,1
12835224210230358e3,production_vocabulary,NA,Post-test,1
12835224210230358e3,multiple-choice_grammar,simple-present-q-be,Baseline,1
12835224210230358e3,multiple-choice_grammar,simple-present-q-be,Post-test,1
12835224210230358e3,multiple-choice_vocabulary,NA,Baseline,1
12835224210230358e3,multiple-choice_vocabulary,NA,Post-test,0
7415512277470855e3,production_grammar,simple-present-neg-does,Baseline,0
7415512277470855e3,production_grammar,simple-present-neg-does,Post-test,1
7415512277470855e3,production_vocabulary,NA,Baseline,1
7415512277470855e3,production_vocabulary,NA,Post-test,1
7415512277470855e3,multiple-choice_grammar,simple-present-neg-do,Baseline,1
7415512277470855e3,multiple-choice_grammar,simple-present-neg-do,Post-test,1
7415512277470855e3,multiple-choice_grammar,possessive-s,Baseline,0
7415512277470855e3,multiple-choice_grammar,possessive-s,Post-test,1
13724121995665164e3,production_grammar,simple-present-questions-does,Baseline,0
13724121995665164e3,production_grammar,simple-present-questions-does,Post-test,0
13724121995665164e3,production_vocabulary,NA,Baseline,1
13724121995665164e3,production_vocabulary,NA,Post-test,1
13724121995665164e3,multiple-choice_grammar,simple-present-neg-do,Baseline,1
13724121995665164e3,multiple-choice_grammar,simple-present-neg-do,Post-test,1
13724121995665164e3,multiple-choice_vocabulary,NA,Baseline,1
13724121995665164e3,multiple-choice_vocabulary,NA,Post-test,1
4838358301996172e3,production_grammar,imperative,Baseline,1
4838358301996172e3,production_grammar,imperative,Post-test,1
4838358301996172e3,production_vocabulary,NA,Baseline,1
4838358301996172e3,production_vocabulary,NA,Post-test,1
4838358301996172e3,multiple-choice_grammar,phrasal-verbs,Baseline,1
4838358301996172e3,multiple-choice_grammar,phrasal-verbs,Post-test,0
4838358301996172e3,multiple-choice_vocabulary,NA,Baseline,1
4838358301996172e3,multiple-choice_vocabulary,NA,Post-test,1
3841688051989672e3,production_grammar,simple-present-questions-does,Baseline,1
3841688051989672e3,production_grammar,simple-present-questions-does,Post-test,1
3841688051989672e3,production_vocabulary,NA,Baseline,1
3841688051989672e3,production_vocabulary,NA,Post-test,1
3841688051989672e3,multiple-choice_grammar,modal-verbs,Baseline,1
3841688051989672e3,multiple-choice_grammar,modal-verbs,Post-test,1
3841688051989672e3,multiple-choice_grammar,comparatives-superlatives,Baseline,1
3841688051989672e3,multiple-choice_grammar,comparatives-superlatives,Post-test,1
1224320505830118400,production_grammar,plural,Baseline,0
1224320505830118400,production_grammar,plural,Post-test,0
1224320505830118400,production_vocabulary,NA,Baseline,1
1224320505830118400,production_vocabulary,NA,Post-test,1
1224320505830118400,multiple-choice_grammar,simple-present-q-does,Baseline,1
1224320505830118400,multiple-choice_grammar,simple-present-q-does,Post-test,0
1224320505830118400,multiple-choice_vocabulary,NA,Baseline,1
1224320505830118400,multiple-choice_vocabulary,NA,Post-test,1
8037690996906795e3,production_grammar,plural,Baseline,0
8037690996906795e3,production_grammar,plural,Post-test,1
8037690996906795e3,production_vocabulary,NA,Baseline,1
8037690996906795e3,production_vocabulary,NA,Post-test,1
8037690996906795e3,multiple-choice_grammar,comparatives-superlatives,Baseline,0
8037690996906795e3,multiple-choice_grammar,comparatives-superlatives,Post-test,1
8037690996906795e3,multiple-choice_grammar,possessive-s,Baseline,1
8037690996906795e3,multiple-choice_grammar,possessive-s,Post-test,1
6056596684783862e3,production_grammar,gerund-as-a-noun,Baseline,0
6056596684783862e3,production_grammar,gerund-as-a-noun,Post-test,0
6056596684783862e3,production_vocabulary,NA,Baseline,0
6056596684783862e3,production_vocabulary,NA,Post-test,1
6056596684783862e3,multiple-choice_grammar,modal-verbs,Baseline,1
6056596684783862e3,multiple-choice_grammar,modal-verbs,Post-test,1
6056596684783862e3,multiple-choice_vocabulary,NA,Baseline,1
6056596684783862e3,multiple-choice_vocabulary,NA,Post-test,1
16497005344917078e3,production_grammar,present-progressive,Baseline,0
16497005344917078e3,production_grammar,present-progressive,Post-test,1
16497005344917078e3,production_vocabulary,NA,Baseline,0
16497005344917078e3,production_vocabulary,NA,Post-test,1
16497005344917078e3,multiple-choice_grammar,phrasal-verbs,Baseline,0
16497005344917078e3,multiple-choice_grammar,phrasal-verbs,Post-test,1
16497005344917078e3,multiple-choice_vocabulary,NA,Baseline,1
16497005344917078e3,multiple-choice_vocabulary,NA,Post-test,1
569869972255484900,production_grammar,imperative,Baseline,1
569869972255484900,production_grammar,imperative,Post-test,0
569869972255484900,production_vocabulary,NA,Baseline,1
569869972255484900,production_vocabulary,NA,Post-test,1
569869972255484900,multiple-choice_grammar,phrasal-verbs,Baseline,1
569869972255484900,multiple-choice_grammar,phrasal-verbs,Post-test,1
569869972255484900,multiple-choice_grammar,comparatives-superlatives,Baseline,0
569869972255484900,multiple-choice_grammar,comparatives-superlatives,Post-test,0
6428103761783178e3,production_grammar,modal-verbs,Baseline,1
6428103761783178e3,production_grammar,modal-verbs,Post-test,1
6428103761783178e3,production_vocabulary,NA,Baseline,0
6428103761783178e3,production_vocabulary,NA,Post-test,0
6428103761783178e3,multiple-choice_grammar,simple-present-q-does,Baseline,0
6428103761783178e3,multiple-choice_grammar,simple-present-q-does,Post-test,0
6428103761783178e3,multiple-choice_grammar,existential,Baseline,1
6428103761783178e3,multiple-choice_grammar,existential,Post-test,1
15798593578319024e3,production_grammar,present-progressive,Baseline,1
15798593578319024e3,production_grammar,present-progressive,Post-test,1
15798593578319024e3,production_vocabulary,NA,Baseline,1
15798593578319024e3,production_vocabulary,NA,Post-test,1
15798593578319024e3,multiple-choice_grammar,plural,Baseline,1
15798593578319024e3,multiple-choice_grammar,plural,Post-test,1
15798593578319024e3,multiple-choice_grammar,simple-present-statements-3rd,Baseline,0
15798593578319024e3,multiple-choice_grammar,simple-present-statements-3rd,Post-test,1
4919972354391396e3,production_grammar,it-as-a-subject,Baseline,1
4919972354391396e3,production_grammar,it-as-a-subject,Post-test,1
4919972354391396e3,production_vocabulary,NA,Baseline,0
4919972354391396e3,production_vocabulary,NA,Post-test,1
4919972354391396e3,multiple-choice_grammar,plural,Baseline,1
4919972354391396e3,multiple-choice_grammar,plural,Post-test,1
4919972354391396e3,multiple-choice_grammar,existential,Baseline,1
4919972354391396e3,multiple-choice_grammar,existential,Post-test,1
5328875959817811e3,production_grammar,simple-present-statements-non-3rd,Baseline,1
5328875959817811e3,production_grammar,simple-present-statements-non-3rd,Post-test,1
5328875959817811e3,production_vocabulary,NA,Baseline,1
5328875959817811e3,production_vocabulary,NA,Post-test,1
5328875959817811e3,multiple-choice_grammar,simple-present-neg-does,Baseline,0
5328875959817811e3,multiple-choice_grammar,simple-present-neg-does,Post-test,0
5328875959817811e3,multiple-choice_grammar,modal-verbs,Baseline,1
5328875959817811e3,multiple-choice_grammar,modal-verbs,Post-test,1
11191359585516438e3,production_grammar,present-progressive,Baseline,0
11191359585516438e3,production_grammar,present-progressive,Post-test,1
11191359585516438e3,production_vocabulary,NA,Baseline,1
11191359585516438e3,production_vocabulary,NA,Post-test,1
11191359585516438e3,multiple-choice_grammar,possessive-pronouns,Baseline,0
11191359585516438e3,multiple-choice_grammar,possessive-pronouns,Post-test,1
11191359585516438e3,multiple-choice_grammar,plural,Baseline,0
11191359585516438e3,multiple-choice_grammar,plural,Post-test,0
9709112781155658e3,production_grammar,imperative,Baseline,1
9709112781155658e3,production_grammar,imperative,Post-test,1
9709112781155658e3,production_vocabulary,NA,Baseline,1
9709112781155658e3,production_vocabulary,NA,Post-test,1
9709112781155658e3,multiple-choice_grammar,simple-present-neg-do,Baseline,1
9709112781155658e3,multiple-choice_grammar,simple-present-neg-do,Post-test,1
9709112781155658e3,multiple-choice_grammar,simple-present-q-be,Baseline,1
9709112781155658e3,multiple-choice_grammar,simple-present-q-be,Post-test,1
8539794239166768e3,production_grammar,existential,Baseline,0
8539794239166768e3,production_grammar,existential,Post-test,1
8539794239166768e3,production_vocabulary,NA,Baseline,1
8539794239166768e3,production_vocabulary,NA,Post-test,1
8539794239166768e3,multiple-choice_grammar,modal-verbs,Baseline,1
8539794239166768e3,multiple-choice_grammar,modal-verbs,Post-test,1
